Country/area,2022_Renewable(%),2022_Hydro_generation(TWH),2022_Hydro_generation(%),2022_Hydro_consumption(%),2022_Wind_generation(TWH),2022_Wind_generation(%),2022_Wind_consumption(%),2022_Solar_generation(TWH),2022_Solar_generation(%),2022_Solar_consumption(%),OtherRenewables_2022(%),Total_EnergyProd_2022(TWH),Norm_RenEnergy_produced_2022
European Union (27),15.6,211.81,15.06,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5399999999999991,7.365091355460082,0.5395785250262558
High-income countries,18.61,706.7,17.63,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000004,2.633366350643837,0.643689509662732
Lower-middle-income countries,17.19,30.51,16.31,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8800000000000026,56.34218289085546,0.5945740285385472
Middle Africa (EI),,3.94,93.9,30.6,,0.0,,,0.0,,,,
Middle East (EI),5.69,2.35,5.69,1.3,,0.0,,,0.0,,0.0,242.12765957446808,0.1968078081666279
Non-OECD (EI),23.36,204.96,23.01,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.34999999999999787,11.397345823575332,0.8079842528598291
North America,20.35,326.29,19.09,5.9,,0.0,,,0.0,,1.2600000000000016,6.236783229642343,0.7038732682233529
North America (EI),20.51,325.93,19.28,6.0,,0.0,,,0.0,,1.2300000000000004,6.29276224956279,0.7094074069415709
OECD (EI),19.53,718.24,18.51,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0199999999999996,2.719146803296948,0.6755108072924856
Oceania,23.74,17.71,22.12,10.2,,0.0,,0.0,0.0,0.0,1.6199999999999974,134.04856013551665,0.8211278323155968
South America,,39.58,76.47,11.0,,0.0,,,0.0,,,,
South and Central America (EI),70.85,41.3,69.37,8.9,,0.0,,,0.0,,1.4799999999999898,171.54963680387408,2.450585801160911
Upper-middle-income countries,25.53,152.64,25.29,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.240000000000002,16.72562893081761,0.8830410092256609
Western Africa (EI),45.3,0.48,45.07,2.5,,0.0,,,0.0,,0.22999999999999687,9437.5,1.5668530245954733
World,20.82,923.2,20.02,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,2.2551993067590987,0.7201298007081183
,,,,,,,,,,,,,
